Query Name,Mean Diff (B - O),95% CI Lower,95% CI Upper,p-value (t-test)
i want my most frequent customers,0.4478,0.4168,0.4788,0
most popular products/ most sold products,0.0182,0.0038,0.0325,0.01583
highest spending customers,-0.0407,-0.0964,0.0151,0.143595
customers placed the most orders in the last 6 months,0.1466,0.1229,0.1703,0
most frequently bought product pair,-0.1393,-0.2103,-0.0683,0.0006
total sales per category,1.4676,1.4186,1.5165,0
total payment per customer,0.3899,0.3181,0.4617,0
